,Year,Number.thousands,quintile1,quintile2,median,quintile3,quintile4,p95,P90,P95,P99,P99.5,P99.9,P99.99,realGDP.M,GDP.Deflator,PopulationK,realGDPperCap,P95IRSvsCensus,personsPerFamily,realGDPperFamily,mean.median
68,1980,60309,27592,46455,55285.68282,65795,92325,145917,94057,120204,227595,320083,731318,2774744,6766214.34,44.49,227726,29712.08595,0.823783384,3.775987,112192.4503,2.029321962
69,1981,61019,26683,45420,54259.36767,64819,91567,145325,92777,118398,217833,305654,735352,2880738,6941791.06,48.66,230008,30180.65107,0.814711853,3.76944886,113764.4208,2.096677969
70,1982,61393,26042,44599,53364.59451,63853,91615,149211,91836,116523,217546,307822,773150,3460786,6809163.43,51.63,232218,29322.28883,0.78092768,3.782483345,110911.0691,2.078364319
71,1983,62015,25931,44414,53556.51719,64581,92345,151977,92419,118865,225854,324009,848233,3724338,7124613.47,53.66,234333,30403.79732,0.782124927,3.778650327,114885.3187,2.145123035
72,1984,62706,26469,46042,55412.87776,66691,95904,157023,94849,123194,236533,336670,879457,4336427,7641787.72,55.57,236394,32326.48842,0.784560224,3.769878481,121866.933,2.199252917
73,1985,63558,27035,46573,56053.55361,67464,98146,160694,97106,127617,251585,358239,1010074,4634247,7965743.57,57.35,238506,33398.50401,0.794161574,3.752572454,125330.3061,2.235902955
74,1986,64491,27983,48171,58150.73394,70198,101080,166701,101086,136431,286619,462468,1292177,6999670,8245490.21,58.51,240683,34258.71442,0.818417406,3.73204013,127854.897,2.198680711
75,1987,65204,28225,48689,58859.29923,71154,103113,168115,100982,130668,264424,383445,965452,3922394,8530907.39,59.94,242843,35129.31033,0.777253666,3.724357401,130834.1069,2.222828145
76,1988,65837,28166,48831,59213.69034,71804,104267,171586,102248,134223,287756,439068,1250581,5794640,8889516.54,62.04,245061,36274.70691,0.782249135,3.722238255,135023.1017,2.280268312
77,1989,66090,28612,50062,60430.72657,72947,106470,176937,102854,135907,286946,434471,1155888,5000383,9216727.7,64.46,247387,37256.30888,0.768109553,3.743183538,139457.2021,2.307720095
78,1990,66322,28689,49463,59508.85216,71595,104719,174319,101217,133087,278970,423099,1126027,4746961,9393564.54,66.85,250181,37547.07107,0.763468125,3.772217364,141635.7135,2.380078061
79,1991,67173,27949,47861,58168.1476,70695,103562,169050,101283,134359,270637,404542,1017937,4098306,9386738.89,69.06,253530,37024.17378,0.794788524,3.774284311,139739.7582,2.402341556
80,1992,68216,26798,47580,57938.04087,70551,102699,169982,101106,133130,281705,427414,1118561,4931449,9720460.67,70.64,256922,37834.28392,0.783200574,3.766301161,142495.3075,2.459442973
81,1993,68506,26554,46942,57511.15822,70460,104515,177100,101122,133354,282509,414915,1069678,4575756,9987291.08,72.32,260282,38371.04254,0.752987013,3.799404432,145787.1091,2.534936064
82,1994,69313,27485,47953,58761.00548,72005,107239,183910,102630,136422,289648,423487,1091132,4686668,10390424.47,73.86,263455,39439.08875,0.741786744,3.800946431,149905.8636,2.551111275
83,1995,69597,28529,49346,60134.62873,73282,108101,184990,105319,140713,303934,451369,1191111,5324879,10672901.37,75.4,266588,40035.18851,0.760651927,3.830452462,153352.8864,2.550159362
84,1996,70241,28678,50004,61011.86583,74443,109752,186524,104423,142352,323492,488866,1335255,6438531,11078029.95,76.78,269714,41073.24387,0.76318329,3.839837132,157714.5669,2.584981868
85,1997,70884,29364,51350,62666.93945,76478,114112,195530,108571,148693,348589,532013,1534707,7725466,11575147.29,78.1,272958,42406.33531,0.76046131,3.850770273,163297.0554,2.605792733
86,1998,71551,30386,53024,64642.57396,78807,117736,204260,112632,155859,368725,576824,1717648,9080061,12090221.34,78.94,276154,43780.7167,0.763042201,3.859540747,168973.46,2.613965529
87,1999,73206,31413,54421,66669.59708,81675,121311,213620,116917,162182,395789,619103,1897323,10171760,12676177.14,80.07,279328,45380.97459,0.759207939,3.815643526,173157.6219,2.597250163
88,2000,73778,32000,54453,66726.74465,81767,121832,213493,119963,170032,418237,643835,2063277,11668765,13194716.52,81.89,282398,46723.83197,0.796428923,3.827672206,178843.513,2.680237346
89,2001,74340,31126,53339,65753.72736,81058,122105,212830,116705,162631,376479,568240,1645796,8110433,13319888.44,83.77,285225,46699.58516,0.764135695,3.836763519,179175.2647,2.724944606
90,2002,75616,30631,52890,65212.92993,80407,120571,209726,113370,156302,351724,528020,1445167,6781853,13556475.97,85.06,287955,47078.45074,0.745267635,3.80812262,179280.5131,2.749155932
91,2003,76232,30108,52505,65273.85189,81148,122595,212335,112635,155449,351898,529876,1473864,7125299,13934827,86.75,290626,47947.62901,0.732093155,3.812388498,182794.9893,2.800432088
92,2004,76866,30112,52756,64968.06363,80007,121557,211072,114516,160076,382162,583407,1751929,9148783,14464077.4,89.13,293262,49321.34882,0.75839524,3.815236906,188172.6303,2.896386621
93,2005,77418,30128,52951,65221.30469,80335,121260,216998,116706,164797,412213,642055,2026280,11273452,14948803.56,91.99,295993,50503.90844,0.759440179,3.823309825,193092.0893,2.96056772
94,2006,78454,30748,53524,65877.81487,81083,124301,217580,118845,168349,428594,674906,2174835,11936625,15347421.52,94.82,298818,51360.433,0.773733799,3.808830652,195623.1915,2.969485128
95,2007,77908,30856,54827,67480.3798,83054,124734,218395,121396,172037,441720,699934,2273381,12708323,15622127.68,97.34,301696,51781.01906,0.787733236,3.872464959,200520.1818,2.971533095
96,2008,78874,29646,52601,64862.01185,79981,120723,213283,116301,162863,392680,595812,1807653,9747948,15576763.36,99.21,304543,51147.99777,0.763600474,3.861132946,197489.2193,3.044759386
97,2009,78867,28832,51291,63456.30415,78507,120471,214095,113563,156709,352276,519944,1428056,6985550,15140236.79,100,307240,49278.21072,0.731960111,3.895672461,191971.7684,3.025259208
98,2010,79559,27928,50548,62762.68869,77929,119463,210829,113571,158230,365026,545224,1560625,8271544,15519847.94,101.22,309776,50100.229,0.750513449,3.893663822,195073.4491,3.108111733
99,2011,80529,27787,49515,61572.84308,76567,118286,209487,112852,158268,368505,552862,1582160,8120723,15806525.24,103.2,312036,50656.09943,0.755502728,3.874827702,196283.6573,3.187828392
100,2012,80944,27794,49788,61730.65644,76538,119001,210000,113820,161438,393941,611805,1906047,10256235,16245782.07,105.01,314278,51692.39062,0.768752381,3.882659617,200703.9575,3.251285004
